temperature,rain,light,soil,umbrella
33.34,False,HIGH,MOIST,OPEN
29.72,False,LOW,DRY,OPEN
38.15,False,LOW,DRY,OPEN
36.93,True,LOW,MOIST,CLOSED
25.53,True,LOW,DRY,CLOSED
25.8,False,LOW,MOIST,CLOSED
25.14,False,HIGH,DRY,CLOSED
29.51,True,LOW,MOIST,CLOSED
27.14,True,HIGH,MOIST,CLOSED
23.16,False,LOW,DRY,CLOSED
24.7,True,HIGH,MOIST,OPEN
28.49,True,LOW,MOIST,OPEN
30.34,False,LOW,DRY,OPEN
21.08,True,HIGH,MOIST,OPEN
28.25,False,HIGH,DRY,CLOSED
22.46,True,HIGH,MOIST,OPEN
23.19,False,HIGH,MOIST,CLOSED
33.81,False,LOW,MOIST,OPEN
38.45,True,LOW,DRY,OPEN
24.41,False,LOW,MOIST,CLOSED
34.98,False,LOW,DRY,OPEN
35.68,True,LOW,DRY,OPEN
20.21,False,LOW,DRY,CLOSED
31.6,True,LOW,MOIST,OPEN
20.63,True,HIGH,MOIST,OPEN
24.42,True,LOW,MOIST,OPEN
38.2,False,HIGH,MOIST,CLOSED
38.87,False,LOW,DRY,CLOSED
33.07,False,LOW,DRY,CLOSED
20.41,False,HIGH,DRY,CLOSED
34.95,True,HIGH,MOIST,OPEN
34.4,True,LOW,DRY,OPEN
32.98,True,LOW,DRY,OPEN
39.17,True,HIGH,MOIST,OPEN
31.68,False,LOW,DRY,CLOSED
36.48,True,HIGH,DRY,OPEN
28.58,False,HIGH,DRY,CLOSED
30.01,True,LOW,DRY,OPEN
24.1,True,LOW,MOIST,OPEN
36.1,True,HIGH,MOIST,OPEN
38.84,True,HIGH,MOIST,OPEN
37.75,False,LOW,MOIST,CLOSED
30.08,True,LOW,DRY,CLOSED
32.19,False,HIGH,MOIST,CLOSED
31.3,False,HIGH,MOIST,CLOSED
33.03,True,HIGH,MOIST,CLOSED
23.58,True,HIGH,MOIST,CLOSED
32.24,False,HIGH,MOIST,CLOSED
39.61,False,LOW,DRY,CLOSED
22.01,True,HIGH,DRY,OPEN
24.31,False,HIGH,MOIST,CLOSED
33.27,False,LOW,DRY,CLOSED
22.71,False,LOW,MOIST,CLOSED
31.13,True,HIGH,MOIST,OPEN
37.07,False,HIGH,MOIST,CLOSED
31.96,True,HIGH,MOIST,OPEN
35.44,False,HIGH,MOIST,CLOSED
32.98,False,LOW,DRY,CLOSED
39.0,True,LOW,DRY,OPEN
23.85,True,HIGH,MOIST,OPEN
39.83,False,HIGH,MOIST,CLOSED
29.82,True,HIGH,MOIST,OPEN
35.85,False,LOW,MOIST,CLOSED
26.12,True,LOW,MOIST,OPEN
38.11,True,HIGH,MOIST,OPEN
20.89,False,LOW,MOIST,CLOSED
35.38,False,LOW,MOIST,CLOSED
37.07,False,LOW,DRY,CLOSED
39.65,True,HIGH,DRY,OPEN
34.93,False,HIGH,MOIST,CLOSED
32.89,True,HIGH,MOIST,OPEN
21.8,True,HIGH,DRY,OPEN
38.23,False,HIGH,DRY,CLOSED
37.78,False,HIGH,MOIST,CLOSED
39.68,False,LOW,MOIST,CLOSED
32.92,False,HIGH,DRY,CLOSED
20.72,False,LOW,MOIST,CLOSED
32.96,True,HIGH,MOIST,OPEN
33.49,True,LOW,MOIST,OPEN
21.41,True,LOW,DRY,OPEN
21.61,True,HIGH,DRY,OPEN
28.52,True,LOW,DRY,OPEN
22.09,True,HIGH,MOIST,OPEN
23.16,True,LOW,MOIST,OPEN
21.83,True,HIGH,DRY,OPEN
20.64,True,HIGH,DRY,OPEN
27.73,True,LOW,MOIST,OPEN
33.47,True,LOW,MOIST,OPEN
32.7,False,LOW,MOIST,CLOSED
35.14,False,LOW,MOIST,CLOSED
32.65,False,LOW,MOIST,CLOSED
25.58,False,HIGH,DRY,CLOSED
20.38,False,HIGH,MOIST,CLOSED
28.38,True,LOW,DRY,OPEN
26.53,False,LOW,DRY,CLOSED
32.22,False,HIGH,DRY,CLOSED
27.63,False,HIGH,DRY,CLOSED
33.24,True,HIGH,DRY,OPEN
34.57,False,HIGH,MOIST,CLOSED
34.69,True,LOW,DRY,OPEN
38.61,False,HIGH,MOIST,CLOSED
24.11,False,HIGH,DRY,CLOSED
22.14,True,LOW,DRY,OPEN
32.19,False,LOW,MOIST,CLOSED
30.79,True,LOW,DRY,OPEN
